pattern,unique_membership_queries,membership_queries,equivalence_queries
(((b|ε)((b|a)(bb)))*),142,142,2
((a(((a|(a|b))|ε)a))*),35,35,1
((((bb)*)|(b*)|(a*))|ε),163,163,3
(b((a|(a|(a|((b*)(a|ε)))))((b*)b))),175,175,3
((((b|ε)(((b(b*))|ε)a))*)a),198,198,3
(((b|(b|(b|b)))*)((b*)(b|ε))),73,73,2
(((a|ε)(b(b(b|ε))))*),35,35,1
(((a|ε)((b*)(b((b*)(b(a*))))))*),186,186,3
(((a|ε)(b(((a|(b|b))(a|ε))*)))*),124,124,2
(((b|(a|(b|a)))((ab)*))|ε),96,96,2
((b|(b|a))((b*)((a*)((b|b)(a*))))),109,109,2
(((b((ba)|(a*)))*)(a*)),145,145,3
((((b(b*))|ε)(b|(a|a)))|ε),33,33,1
(b((((a|(a|b))*)|(a*))(aa))),184,184,3
(((b*)((b|b)(b(((((a*)|(a*))|ε)b)|ε))))*),35,35,1
((((((b|ε)(b*))*)|(b*)|(b*))|ε)b),73,73,2
(((((b*)|(b*))*)|(a*))|ε),163,163,3
((((b*)|((b|a)*))(a|b))|ε),35,35,1
(((b(a(bb)))|(bb))|ε),33,33,1
((b|ε)(((a(aa))*)(b*))),73,73,2
(((b*)(b(b((b|b)b))))*),35,35,1
(((b*)(b(((a|b)|ε)(a|a))))*),120,120,2
(b((b|ε)(b(b*)))),33,33,1
(((b*)(b(((a|b)|ε)b)))*),35,35,1
((a|ε)((((b|(b|a))*)|(b*))(b(b|ε)))),232,232,3
(b((b|(b|a))(((b|(b|a))b)|ε))),33,33,1
(((b|a)((((a(b|ε))|ε)b)*))|ε),125,125,2
(((b*)((b|b)(b((((a|b)|ε)(a|ε))|ε))))*),143,143,2
(((b|(a*)|(b*))|ε)a),163,163,3
(((((a*)b)|((a(a|ε))|(b*)))a)|ε),313,313,4
(((((b*)|((aa)*))|ε)((a|ε)(a|ε)))*),163,163,3
((((b|ε)((b*)|(a*)))|ε)(b(b|ε))),33,33,1
(((b|(b|a))*)((b|ε)((a|ε)(b|ε)))),112,112,2
((a|ε)(b(((a|ε)(ab))*))),33,33,1
(((b|(b|(b|a)))((a|(a|b))|ε))|ε),33,33,1
(((((a*)b)|((a*)a))(a|ε))|ε),33,33,1
(((b*)|(a*)|((a|(b|(b|a)))*)|(a*)|(b*))|ε),33,33,1
((a*)((b|a)(b|ε))),33,33,1
((a|ε)((a|ε)((b|ε)((a|(a|b))a)))),118,118,2
(((b*)|(((b*)a)*)|(a*))|ε),73,73,2
((((b|a)|ε)(((a|ε)(a|ε))*))|ε),96,96,2
((a|ε)(((a((a|ε)((ba)*)))*)b)),33,33,1
(((((b*)|((ba)*))|ε)(((a|(ba))|ε)(a|ε)))*),364,364,4
(b((b|ε)((b|(a*))*))),162,162,3
(b(((b|(b|a))*)(b(b|(b|a))))),179,179,3
(((b*)|((((b|ε)(b(a*)))|(a*))*))|ε),145,145,3
((a|ε)(b((a|(a|(a(a|ε))))a))),33,33,1
((a|ε)(((a|a)*)(a|ε))),33,33,1
(((((a*)|(b*))|ε)((b*)((b|b)|ε)))*),35,35,1
(((b*)|((a|(b(((b|a)|ε)a)))*))|ε),233,233,3
(((((b*)|((b(a|ε))*))|ε)((b*)(b*)))*),77,77,2
(((((a|b)b)|ε)(b(b|((b*)(a*)))))*),186,186,3
(b((b*)(b((b|ε)(b*))))),33,33,1
(((a|(((b*)(a|ε))*)|(b*)|(b*))|ε)(b*)),33,33,1
(((((b*)|((b(a|ε))*))|ε)((b|ε)(a|ε)))*),89,89,2
(((b*)((b|b)(((a*)|(b*))b)))*),98,98,2
((((b|ε)(a|a))|(((b|ε)a)*))*),35,35,1
((a(((b|a)*)a))*),93,93,2
(((((a*)((b|b)*))|(b*))(((a*)a)|ε))|ε),114,114,2
((a|(((ba)*)(b(b*))))|ε),115,115,2
(b(((a*)(a(a|(aa))))*)),87,87,2
((((a|b)((a|a)(b*)))*)a),199,199,3
((b|(b|a))((b*)((b*)(((a|ε)a)*)))),102,102,2
((((b|(b|b))(aa))*)(b*)),35,35,1
(b((b(b*))|(b*))),73,73,2
(((b*)(a(((a|b)*)b)))*),77,77,2
((((b|a)|ε)((a*)|(b*)|(a*)))|ε),167,167,3
(((b*)|((((b|ε)a)|(b(b|ε)))*))|ε),121,121,2
((((b*)|((b|(b|a))*))(b|(aa)))|ε),91,91,2
((b|ε)(((b*)((b*)(bb)))*)),87,87,2
((b|ε)(((a*)((((a*)|(a*))|ε)(b*)))*)),80,80,2
((((b*)|((b|(b|a))*))(b|(b(a*))))|ε),35,35,1
(((a*)|(((b*)b)*))((b|b)(((b*)((a*)|(b*)))|(b*)))),80,80,2
(((((a|a)*)a)|((a|ε)(a|b)))|ε),76,76,2
((b*)((b|ε)b)),33,33,1
((((a|((a*)a))|ε)(b|ε))|ε),33,33,1
(((((b|(a|b))b)*)(a*))|ε),103,103,2
(((((a|b)(a*))|ε)(ab))*),170,170,3
(((((b((b|ε)b))*)(a|ε))|(b*))|ε),76,76,2
((b|ε)((b|((b*)a))*)),80,80,2
((((a|(((ab)*)a))|ε)(b|ε))|ε),33,33,1
(((b|(b|(b|b)))((a*)|((b|a)*)))|ε),80,80,2
((((b|(a|(a|(b|a))))*)(a*))|ε),33,33,1
(((b*)(b((((b|ε)a)|ε)((a(a*))|ε))))*),135,135,2
(((bb)|(((b*)((a*)(a|ε)))|((b(ba))*)))|ε),101,101,2
(((b*)|((a|(b(a(a(b|ε)))))*))|ε),248,248,3
(b((b|ε)(((bb)|ε)a))),33,33,1
(((b|a)((((b|(a|a))|ε)(a|ε))*))|ε),96,96,2
(((b*)|(((((b|ε)(a*))*)b)*)|(a*))|ε),145,145,3
((((b*)|((b|((ba)*))*))a)|ε),161,161,3
((a|ε)(((b(a(b*)))*)(b|ε))),33,33,1
(((a|(b|b))(((a*)(a*))|ε))|ε),76,76,2
(((a*)|((((b|(a|(a|a)))|ε)(a*))*))*),33,33,1
(a|(b((b|a)|ε))),76,76,2
(b(((b|(a|a))|ε)(b((a*)a)))),215,215,3
(b(a(a|((a((b*)b))*)))),33,33,1
((((a|(b|(a|(b|(a|b)))))*)(b*))|ε),33,33,1
((b|ε)(((a*)(((a(b|ε))*)a))*)),202,202,3
((((b|(a|b))*)((a|a)|ε))|ε),35,35,1
